"folder","files","folders","bytes","mb","gb","likely_bulk_or_generated"
"modules\megadetector","50099","5516","1901631448","1813.537","1.771","False"
".venv\Lib","48150","5342","1677051760","1599.361","1.562","True"
"modules\speciesnet","54439","9329","1332931203","1271.182","1.241","False"
"modules\dlc","143","20","534977206","510.194","0.498","False"
"output\debug","598","88","105283123","100.406","0.098","True"
".venv\Scripts","48","1","4787096","4.565","0.004","True"
"output\reports","2","3","99529","0.095","0","True"
"app\__pycache__","1","0","29046","0.028","0","True"
".venv\share","2","2","12260","0.012","0","True"
"output\profiles","0","0","0","0","0","True"
"modules\yolo","0","1","0","0","0","False"
"modules\wildid","0","0","0","0","0","False"
"output\crops","0","0","0","0","0","True"
"output\smart-cropper","0","6","0","0","0","True"
"output\training","0","3","0","0","0","True"
"output\frames","0","0","0","0","0","True"
"output\database","0","0","0","0","0","True"
"output\trash","0","0","0","0","0","True"
"app\biometrics","0","0","0","0","0","False"
"app\identity","0","0","0","0","0","False"
"app\main","0","0","0","0","0","False"
"app\3d-mapping","0","0","0","0","0","False"
"app\ai-detection","0","0","0","0","0","False"
"app\autosort","0","1","0","0","0","False"
".venv\Include","0","0","0","0","0","True"
"modules\lightglue","0","0","0","0","0","False"
"modules\mmpose","0","1","0","0","0","False"
"app\profiles","0","0","0","0","0","False"
"app\smart-cropper","0","0","0","0","0","False"
"app\smart-sampler","0","0","0","0","0","False"
