"extension","files","mb","gb"
".png","124","13.41","0.013"
".py","32","0.72","0.001"
".bat","18","0","0"
".txt","9","0.17","0"
".jpg","6","8.04","0.008"
".tmp","6","113.75","0.111"
".pt","5","450.8","0.44"
".csv","5","0.06","0"
".yaml","5","0.01","0"
".mp4","4","94.69","0.092"
".json","4","0.04","0"
".h5","3","0.11","0"
".svg","2","0.16","0"
"[none]","2","0.01","0"
".ipynb","1","4.85","0.005"
".toml","1","0","0"
".pickle","1","0.02","0"
".yml","1","0","0"
".md","1","0.01","0"
".gitignore","1","0","0"
".ini","1","0","0"
".birdbill-backup","1","0","0"
".mat","1","0.07","0"
".gitattributes","1","0","0"
".flake8","1","0","0"
