"folder","files","folders","mb","gb","bulk_or_generated"
"output\sampler-frames","61984",,"24419.68","23.847","True"
"output\crops","24106",,"9294.59","9.077","True"
"output\crops-billtip1","8337",,"3044.67","2.973","True"
"output\frames-OLD","4668","115","1930.24","1.885","True"
"hbmr-env\Lib","56018","6710","1850.73","1.807","True"
"speciesnet-env\Lib","54393","9322","1267.13","1.237","True"
"output\database-OLD","40","2","545.44","0.533","True"
"dlc\billtip","143","20","510.19","0.498","False"
"output\crops-OLD","1473",,"410.87","0.401","True"
"output\profiles-OLD","2260","514","268.42","0.262","True"
"output\frames","529","22","180.61","0.176","True"
"mmpose\output","385","32","167","0.163","True"
"output\profiles","599","92","120.89","0.118","True"
"output\crops-old 06292026","442",,"118.95","0.116","True"
"models\hub","2","2","98.37","0.096","True"
"mmpose\models","2",,"52.19","0.051","True"
"models\MDV6b-yolov9-c.pt","1","0","49.18","0.048","False"
"MDV6-yolov9-c.pt50t1mv8d.tmp","1","0","40.62","0.04","False"
"MDV6-yolov9-c.pt1jz42z27.tmp","1","0","30.5","0.03","False"
"20250704_174952_001-Percy-HBMR.mp4","1","0","31.1","0.03","False"
"MDV6-yolov9-c.ptqz6qpjkm.tmp","1","0","22.62","0.022","False"
"20250704_175743_001-Pearl-HBMR.mp4","1","0","16.24","0.016","False"
"LightGlue\.git","28","16","13.76","0.013","True"
"MDV6-yolov9-c.ptxu7ncfcx.tmp","1","0","11.12","0.011","False"
"output\sampler-OLD","38","10","11.5","0.011","True"
"output\database","9","2","11.33","0.011","True"
"MDV6-yolov9-c.pt619em7ph.tmp","1","0","8.25","0.008","False"
"feeder-single-calibration.jpg","1","0","6.11","0.006","False"
"LightGlue\demo.ipynb","1","0","4.85","0.005","False"
"hbmr-env\Scripts","49","2","4.57","0.004","True"
"output\review-OLD","2",,"4.05","0.004","True"
"speciesnet-env\Scripts","42","2","4.04","0.004","True"
"output\review","2",,"3.1","0.003","True"
"output\crops-DLC test1","31",,"1.95","0.002","True"
