"relative_path","extension","bytes","mb","modified","is_bulk_or_generated"
"speciesnet-env\Lib\site-packages\torch\lib\torch_cpu.dll",".dll","307778048","293.52","2026-06-20 00:44:18","True"
"hbmr-env\Lib\site-packages\torch\lib\torch_cpu.dll",".dll","307778048","293.52","2026-06-25 21:03:20","True"
"hbmr-env\Lib\site-packages\_polars_runtime_32\_polars_runtime.pyd",".pyd","184868352","176.304","2026-06-25 20:57:04","True"
"hbmr-env\Lib\site-packages\llvmlite\binding\llvmlite.dll",".dll","106602496","101.664","2026-06-25 22:26:21","True"
"dlc\billtip\billtip-HB-2026-06-30\dlc-models-pytorch\iteration-0\billtipJun30-trainset95shuffle1\train\snapshot-best-020.pt",".pt","94540755","90.161","2026-06-30 18:26:50","False"
"dlc\billtip\billtip-HB-2026-06-30\dlc-models-pytorch\iteration-0\billtipJun30-trainset95shuffle1\train\snapshot-150.pt",".pt","94539910","90.16","2026-07-01 02:02:24","False"
"dlc\billtip\billtip-HB-2026-06-30\dlc-models-pytorch\iteration-0\billtipJun30-trainset95shuffle1\train\snapshot-100.pt",".pt","94539910","90.16","2026-06-30 23:05:50","False"
"dlc\billtip\billtip-HB-2026-06-30\dlc-models-pytorch\iteration-0\billtipJun30-trainset95shuffle1\train\snapshot-050.pt",".pt","94539910","90.16","2026-06-30 20:14:09","False"
"dlc\billtip\billtip-HB-2026-06-30\dlc-models-pytorch\iteration-0\billtipJun30-trainset95shuffle1\train\snapshot-200.pt",".pt","94539910","90.16","2026-07-01 04:47:29","False"
"speciesnet-env\Lib\site-packages\cv2\cv2.pyd",".pyd","74819072","71.353","2026-06-20 00:43:26","True"
"hbmr-env\Lib\site-packages\cv2\cv2.pyd",".pyd","74819072","71.353","2026-06-25 20:58:34","True"
"mmpose\models\rtmpose-m_simcc-ap10k_pt-aic-coco_210e-256x256-7a041aa1_20230206.pth",".pth","54721413","52.186","2026-06-25 18:30:59","True"
"models\hub\checkpoints\MDV6-yolov9-c.pt",".pt","51572347","49.183","2026-06-18 13:55:11","True"
"models\MDV6b-yolov9-c.pt",".pt","51572347","49.183","2026-06-18 16:08:17","True"
"models\hub\checkpoints\MDV6-yolov9-c (1).pt",".pt","51572347","49.183","2026-06-18 14:21:32","True"
"MDV6-yolov9-c.pt50t1mv8d.tmp",".tmp","42598400","40.625","2026-06-18 14:15:33","False"
"dlc\billtip\billtip-HB-2026-06-30\videos\20250704_174952_001-Percy-HBMR.mp4",".mp4","32615556","31.105","2026-06-30 16:16:08","False"
"20250704_174952_001-Percy-HBMR.mp4",".mp4","32615556","31.105","2026-03-16 18:49:58","False"
"MDV6-yolov9-c.pt1jz42z27.tmp",".tmp","31981568","30.5","2026-06-18 15:54:37","False"
"hbmr-env\Lib\site-packages\gradio\templates\frontend\static\ffmpeg\ffmpeg-core.wasm",".wasm","31739621","30.269","2026-06-25 22:00:10","True"
"hbmr-env\Lib\site-packages\torch\lib\torch_cpu.lib",".lib","29853556","28.471","2026-06-25 21:03:21","True"
"speciesnet-env\Lib\site-packages\torch\lib\torch_cpu.lib",".lib","29853556","28.471","2026-06-20 00:44:19","True"
"speciesnet-env\Lib\site-packages\cv2\opencv_videoio_ffmpeg4130_64.dll",".dll","28578304","27.254","2026-06-20 00:43:27","True"
"hbmr-env\Lib\site-packages\cv2\opencv_videoio_ffmpeg4130_64.dll",".dll","28578304","27.254","2026-06-25 20:58:35","True"
"speciesnet-env\Lib\site-packages\cv2\opencv_videoio_ffmpeg4100_64.dll",".dll","26391552","25.169","2026-06-20 00:43:24","True"
"hbmr-env\Lib\site-packages\cv2\opencv_videoio_ffmpeg4100_64.dll",".dll","26391552","25.169","2026-06-25 20:58:32","True"
"MDV6-yolov9-c.ptqz6qpjkm.tmp",".tmp","23724032","22.625","2026-06-18 13:44:57","False"
"hbmr-env\Lib\site-packages\pillow_avif\_avif.cp311-win_amd64.pyd",".pyd","23535616","22.445","2026-06-25 20:56:05","True"
"speciesnet-env\Lib\site-packages\pillow_avif\_avif.cp312-win_amd64.pyd",".pyd","23535104","22.445","2026-06-20 00:41:24","True"
"hbmr-env\Lib\site-packages\numpy.libs\libscipy_openblas64_-63c857e738469261263c764a36be9436.dll",".dll","20415488","19.47","2026-06-25 20:57:17","True"
"speciesnet-env\Lib\site-packages\numpy.libs\libscipy_openblas64_-63c857e738469261263c764a36be9436.dll",".dll","20415488","19.47","2026-06-20 00:42:26","True"
"speciesnet-env\Lib\site-packages\scipy.libs\libscipy_openblas-197ee2fc9b4d071f7e048078cac74115.dll",".dll","20262912","19.324","2026-06-20 00:43:02","True"
"hbmr-env\Lib\site-packages\scipy.libs\libscipy_openblas-64eda39e79589aedb16f58e5547eb599.dll",".dll","20260864","19.322","2026-06-25 20:58:06","True"
"speciesnet-env\Lib\site-packages\torch\lib\torch_python.dll",".dll","18985984","18.106","2026-06-20 00:44:19","True"
"hbmr-env\Lib\site-packages\torch\lib\torch_python.dll",".dll","18820608","17.949","2026-06-25 21:03:22","True"
"20250704_175743_001-Pearl-HBMR.mp4",".mp4","17027084","16.238","2026-03-16 18:53:53","False"
"dlc\billtip\billtip-HB-2026-06-30\videos\20250704_175743_001-Pearl-HBMR.mp4",".mp4","17027084","16.238","2026-06-30 16:16:08","False"
"output\database-OLD\mr-review.db",".db","15106048","14.406","2026-06-23 20:20:10","True"
"output\database-OLD\backups\mr-review-20260623-193305-manual_sort_move_to_sandbox.db",".db","15097856","14.398","2026-06-23 19:29:44","True"
"output\database-OLD\backups\mr-review-20260623-193303-manual_sort_move_to_sandbox.db",".db","15097856","14.398","2026-06-23 19:29:44","True"
"output\database-OLD\backups\mr-review-20260623-193258-manual_sort_move_to_sandbox.db",".db","15097856","14.398","2026-06-23 19:29:44","True"
"output\database-OLD\backups\mr-review-20260623-193306-manual_sort_move_to_sandbox.db",".db","15097856","14.398","2026-06-23 19:29:44","True"
