"relative_path","extension","bytes","mb","modified"
"autoname.py",".py","5398","0.005","2026-06-23 20:31:43"
"billtipToDLC.py",".py","15352","0.015","2026-06-30 17:04:05"
"billtipTrainerGUI.bat",".bat","55","0","2026-06-29 16:16:06"
"billtipTrainerGUI.py",".py","68450","0.065","2026-06-30 03:33:20"
"biometrics\feeder\feeder-single.json",".json","6406","0.006","2026-06-30 23:14:33"
"canon.txt",".txt","30939","0.03","2026-07-02 17:53:44"
"canon-v5.0.0.txt",".txt","57666","0.055","2026-07-07 06:04:30"
"cleanup.bat",".bat","206","0","2026-06-18 22:37:40"
"cleanup.py",".py","13416","0.013","2026-06-18 22:50:49"
"cleanupGUI.bat",".bat","223","0","2026-06-19 23:36:34"
"cleanupGUI.py",".py","173127","0.165","2026-06-24 12:15:00"
"dbcheck.py",".py","319","0","2026-06-20 20:32:51"
"DEEPLABCUT.yaml",".yaml","1017","0.001","2026-06-24 13:52:45"
"dinosim.bat",".bat","354","0","2026-06-19 00:05:19"
"dinosim.py",".py","5429","0.005","2026-06-19 00:03:30"
"dinotest.bat",".bat","307","0","2026-06-18 23:38:59"
"dinotest.py",".py","1428","0.001","2026-06-18 23:37:09"
"dlc\billtip\billtip-HB-2026-06-30\config.yaml",".yaml","1188","0.001","2026-06-30 17:17:22"
"dlc\billtip\billtip-HB-2026-06-30\dlc-models-pytorch\iteration-0\billtipJun30-trainset95shuffle1\test\pose_cfg.yaml",".yaml","231","0","2026-06-30 17:20:49"
"dlc\billtip\billtip-HB-2026-06-30\dlc-models-pytorch\iteration-0\billtipJun30-trainset95shuffle1\train\learning_stats.csv",".csv","22986","0.022","2026-07-01 04:47:28"
"dlc\billtip\billtip-HB-2026-06-30\dlc-models-pytorch\iteration-0\billtipJun30-trainset95shuffle1\train\pytorch_config.yaml",".yaml","2645","0.003","2026-06-30 17:22:00"
"dlc\billtip\billtip-HB-2026-06-30\dlc-models-pytorch\iteration-0\billtipJun30-trainset95shuffle1\train\snapshot-050.pt",".pt","94539910","90.16","2026-06-30 20:14:09"
"dlc\billtip\billtip-HB-2026-06-30\dlc-models-pytorch\iteration-0\billtipJun30-trainset95shuffle1\train\snapshot-100.pt",".pt","94539910","90.16","2026-06-30 23:05:50"
"dlc\billtip\billtip-HB-2026-06-30\dlc-models-pytorch\iteration-0\billtipJun30-trainset95shuffle1\train\snapshot-150.pt",".pt","94539910","90.16","2026-07-01 02:02:24"
"dlc\billtip\billtip-HB-2026-06-30\dlc-models-pytorch\iteration-0\billtipJun30-trainset95shuffle1\train\snapshot-200.pt",".pt","94539910","90.16","2026-07-01 04:47:29"
"dlc\billtip\billtip-HB-2026-06-30\dlc-models-pytorch\iteration-0\billtipJun30-trainset95shuffle1\train\snapshot-best-020.pt",".pt","94540755","90.161","2026-06-30 18:26:50"
"dlc\billtip\billtip-HB-2026-06-30\dlc-models-pytorch\iteration-0\billtipJun30-trainset95shuffle1\train\train.txt",".txt","27818","0.027","2026-07-01 04:47:29"
"dlc\billtip\billtip-HB-2026-06-30\evaluation-results-pytorch\iteration-0\billtipJun30-trainset95shuffle1\DLC_Resnet50_billtipJun30shuffle1_snapshot_best-20.h5",".h5","40378","0.039","2026-07-02 16:22:06"
"dlc\billtip\billtip-HB-2026-06-30\evaluation-results-pytorch\iteration-0\billtipJun30-trainset95shuffle1\DLC_Resnet50_billtipJun30shuffle1_snapshot_best-20-results.csv",".csv","241","0","2026-07-02 16:22:12"
"dlc\billtip\billtip-HB-2026-06-30\evaluation-results-pytorch\iteration-0\CombinedEvaluation-results.csv",".csv","241","0","2026-07-02 16:22:12"
"dlc\billtip\billtip-HB-2026-06-30\labeled-data\billtip\.napari-deeplabcut.json",".json","197","0","2026-07-02 15:36:53"
"dlc\billtip\billtip-HB-2026-06-30\labeled-data\billtip\birdbill-dlc-conversion-report.txt",".txt","1014","0.001","2026-06-30 17:17:22"
"dlc\billtip\billtip-HB-2026-06-30\labeled-data\billtip\CollectedData_Birdbill.csv",".csv","19223","0.018","2026-07-02 15:36:53"
"dlc\billtip\billtip-HB-2026-06-30\labeled-data\billtip\CollectedData_Birdbill.h5",".h5","38362","0.037","2026-07-02 15:36:53"
"dlc\billtip\billtip-HB-2026-06-30\training-datasets\iteration-0\UnaugmentedDataSet_billtipJun30\CollectedData_Birdbill.csv",".csv","19223","0.018","2026-06-30 17:20:48"
"dlc\billtip\billtip-HB-2026-06-30\training-datasets\iteration-0\UnaugmentedDataSet_billtipJun30\CollectedData_Birdbill.h5",".h5","38362","0.037","2026-06-30 17:20:48"
"dlc\billtip\billtip-HB-2026-06-30\training-datasets\iteration-0\UnaugmentedDataSet_billtipJun30\metadata.yaml",".yaml","255","0","2026-06-30 17:20:49"
"dlcH5Review.py",".py","11997","0.011","2026-07-02 17:19:49"
"gpt-prediction.json",".json","9548","0.009","2026-06-30 03:07:31"
"gpt-prediction2.json",".json","23870","0.023","2026-06-30 03:28:35"
"HBMR.bat",".bat","783","0.001","2026-06-25 20:57:39"
"HBMR-dbcheck.bat",".bat","101","0","2026-06-18 19:11:12"
"hbmr-env-freeze-20260625.txt",".txt","5320","0.005","2026-06-25 22:33:25"
"LightGlue\.github\workflows\code-quality.yml",".yml","637","0.001","2026-06-23 20:57:00"
"LightGlue\benchmark.py",".py","9209","0.009","2026-06-23 20:57:00"
"LightGlue\lightglue\__init__.py",".py","270","0","2026-06-23 20:57:00"
"LightGlue\lightglue\aliked.py",".py","28302","0.027","2026-06-23 20:57:00"
